HomeTeam,VisitingTeam,Score1,Score2
Argentina,France,2,1
Argentina,France,0,0
Argentina,France,0,0
France,Argentina,4,3
France,Argentina,0,2
Uruguay,Argentina,0,0
Uruguay,Argentina,3,2
Argentina,Uruguay,1,0
Argentina,Uruguay,1,0
France,Uruguay,0,0
France,Uruguay,0,0
Uruguay,France,1,0
Uruguay,France,0,0
